stationCode,stationName,stationType,latitude,longitude,agencyName,state,district,majorBasin,tributary,dataAcquisitionMode,stationStatus,tehsil,block,village,datatype_code,description,data_value,data_time,unit,well_type,well_depth,well_aquifer_type
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.73,2024-03-11 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.74,2024-03-12 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.75,2024-03-12 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.76,2024-03-13 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.77,2024-03-13 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.78,2024-03-14 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.78,2024-03-14 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.79,2024-03-15 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.84,2024-03-16 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.84,2024-03-17 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.85,2024-03-17 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.86,2024-03-18 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.89,2024-03-21 18:00:00,m,,,Bore Well,112.0,Confined
